department,name,description,credits,prerequisites,corequisites,,,,,,,,,,,,
HIST,HIST 548D Historiography - HISTORIOGRAPHY,,Credits: 3,null,null,,,,,,,,,,,,
PSYC,PSYC 308A Social Psychology - SOCIAL PSYC,Theory and research of individual social behaviour, social motivation, attitudes, group interaction, socialization, prejudice.,Credits: 3,"Pre-reqs:     Either (a) PSYC 100 or (b) all of PSYC 101, PSYC 102. (or (c) 6 credits of 200-level Psychology (but not 205 or 263).)",null,,,,,,,
EPSE,EPSE 549 Seminar in Autism,,Credits: 3,Pre-reqs:     EPSE 449.,null,,,,,,,,,,,,
VISA,VISA 320 Intermediate Drawing I,Investigation of drawing as a discipline in the context of contemporary art. Emphasis on expanding definitions of the drawing practice while focusing on technical and conceptual development.,Credits: 3,"Pre-reqs:     One of VISA 220, VISA 281, FINA 281.",null,,,,,,,,,,,,
SOCI,SOCI 382 Sociological Methods: Qualitative Research,Examination of the different traditions of qualitative sociological inquiry and the associated methodological features used to study the interpretive practices and meanings in the everyday lives of individuals.,Credits: 3,Pre-reqs:     SOCI 100 and SOCI 217.,null,,,,,,,,,,,,
CIVL,CIVL 432 Advanced Structural Steel Design,"Design of steel structures to resist vertical and lateral loads. Floor and roof systems including conceptual layout, floor deck, beams, joists, trusses, and columns. Stability issues and limit states design. Connections and construction aspects. Seismic design.",Credits: 3,"Pre-reqs:     All of CIVL 331, CIVL 332.",null,,,,,,,,,,,,
LIBR,LIBR 528 Services for Young Adults,,Credits: 3,null,null,,,,,,,,,,,,
GRSJ,GRSJ 450C Directed Studies - DIRECTED STUDIES,"General reading and/or a research undertaking, with the agreement, and under supervision of, a faculty member selected by the student and approved by the GRSJ Undergraduate Advisor. A written paper or equivalent will be required. Open to GRSJ majors or minors.",Credits: 6,null,null,,,,,,,,,,,,
ANTH,ANTH 210 Eating Culture,"An anthropological exploration of how the collection, cultivation and consumption of food shapes human society and culture.",Credits: 3,null,null,,,,,,,,,,,,
POLI,POLI 580A Directed Studies - DIRECTED STUDIES,,Credits: 3,null,null,,,,,,,,,,,,
ASIA,ASIA 341 Classical Chinese Literature in Translation,"Poetry, historical and philosophic prose writings and the earliest genres of fiction in classical Chinese (ca. 1100 BC ? ca. 750 AD).",Credits: 3,null,null,,,,,,,,,,,,
LIBR,LIBR 580 Collection Management,,Credits: 3,null,null,,,,,,,,,,,,
EPSE,EPSE 594 Meta-Analysis: Quantitative Research Synthesis,,Credits: 3,"Pre-reqs:     One of EPSE 592, EPSE 596.",null,,,,,,,,,,,,
BIOT,BIOT 380 Advanced Biotechnology,"Block registration for the microbiology, molecular genetics, biochemistry, management and regulatory affairs, process systems, analytical chemistry and communication courses taken in the BCIT/UBC Joint Degree in Biotechnology.  Credit limited to students in the Joint Degree Program.",Credits: 0,null,null,,,,,,,,,,,,
POLI,POLI 547B Topics in Political Theory - TPCS POLI THEORY,,Credits: 3,null,null,,,,,,,,,,,,
ENGL,ENGL 541A Studies in American Literature Since 1890 - AMER LIT 1890 ON,,Credits: 3,null,null,,,,,,,,,,,,
COMM,COMM 386A Topics in Business III - BUSI ETHCS LDSHP,,Credits: 3,null,null,,,,,,,,,,,,
LLED,LLED 492C Supervised Study in Reading - SPR ST IN READ,,Credits: 6,null,null,,,,,,,,,,,,
MTRL,MTRL 381 Structure and Properties Laboratory,Structure and properties of ferrous and non-ferrous metals, heat treatment, hardenability, metallography, age hardening.,Credits: 1,"Co-reqs:      All of MTRL 365, MTRL 378.",Equivalents:  MMAT 381,,,,,,,,
MICB,MICB 425 Microbial Ecological Genomics,"Intrinsic and extrinsic forces driving prokaryotic genome evolution.  Gene transfer; microbial species concepts; community genome structure, function and dynamics; ecological impacts of microbial genome diversity.  Emphasis on problem solving and experimental design.",Credits: 3,"Pre-reqs:     One of BIOL 335, MICB 325. (One of MICB 201 or MICB 301 is recommended.)",null,,,,,,,,,,,,
POLI,POLI 549B Master's Thesis - MASTERS THESIS,,Credits: 12,null,null,,,,,,,,,,,,
MINE,MINE 434 Processing Precious Metal Ores,Process alternatives and mineralogical considerations, physical and chemical recovery technologies, environmental protection, flowsheet studies.,Credits: 3,Pre-reqs:     MINE 331.,null,,,,,,,,,
HEBR,HEBR 201 Intermediate Biblical Hebrew I,The second year of Biblical Hebrew with emphasis on rapid reading of poetry and prose along with grammar.,Credits: 3,Pre-reqs:     HEBR 102.,null,,,,,,,,,,,,
ASIA,ASIA 342 Chinese Literature in Translation: The Vernacular Tradition,"Readings in drama and fiction, 800 to 1800 AD. The emergence of vernacular genres as distinct from and sometimes opposed to the existing classical genres.",Credits: 3,null,null,,,,,,,,,,,,
SPAN,SPAN 222 Introduction to the Analysis of Hispanic Cultural Texts,"Critical analysis of different cultural genres such as music, cinema, art, photography, through the study of selected Iberian and Latin American cultural texts.  Not available for credit toward the Major or Minor in Spanish.  Taught in Spanish.",Credits: 3,Pre-reqs:     SPAN 202.,null,,,,,,,,,,,,
GEOG,GEOG 547A Directed Reading in Human Geography - HUMAN GEO DR RDG,,Credits: 3,null,null,,,,,,,,,,,,
MATH,MATH 405 Numerical Methods for Differential Equations,"Interpolation, numerical integration, numerical solution of ordinary and partial differential equations. Practical computational methods emphasized and basic theory developed through simple models. See Faculty of Science credit exclusion list: http://www.calendar.ubc.ca/vancouver/index.cfm?tree=12,215,410,414.",Credits: 3,"Pre-reqs:     One of MATH 256, MATH 257, MATH 316.",null,,,,,,,,,,,,
BIOL,BIOL 260 Fundamentals of Physiology,"Principles of cellular and organismal physiology illustrated with examples from unicellular organisms, plants and animals, focusing on transport processes, water balance, nutrient acquisition and communication.",Credits: 3,"Pre-reqs:     Either (a) all of BIOL 112, BIOL 121 or (b) SCIE 001. (or (c) 8 transfer credits of 1st year BIOL and 6 credits of 1st year chemistry.)",null,,,,,,,,,,,,
SPAN,SPAN 101 Beginners' Spanish I,"Grammar, composition, translation, oral practice.",Credits: 3,null,null,,,,,,,,,,,,
PHAR,PHAR 472 Pathophysiology III,Pathophysiology of selected disease states.,Credits: 1,Pre-reqs:     PHAR 471.,"Co-reqs:      All of PHAR 442, PHAR 452.",,,,,,,,,,,,
LING,LING 546A Directed Reading in Topics related to Linguistics - DIRECTED READING,,Credits: 3,null,null,,,,,,,,,,,,
LAIS,LAIS 605 Seminar in Advanced Research Methods,,Credits: 3,null,null,,,,,,,,,,,,
CHEM,CHEM 402 Diffraction Methods,"Crystal structures; point and space groups; X-ray diffraction, neutron diffraction, electron diffraction of gases and surfaces. Credit will be given for only one of CHEM 402 and 514.",Credits: 3,"Pre-reqs:     All of CHEM 202, CHEM 312.",null,,,,,,,,,,,,
SOWK,"SOWK 621 Social Theory, Ideology and Ethics","Critical analysis of major social theories, differentiating competing approaches to understanding human behaviour; social theory, social ideology, and social ethics.",Credits: 3,null,null,,,,,,,,,,,,
ECED,ECED 406 Early Learning Curriculum in the Pre-School Years,"The development of pre-kindergarten programs with reference to recent research, theories of early learning, and curriculum trends and practices.",Credits: 3,null,null,,,,,,,,,,,,
AUDI,AUDI 527 Introduction to Dysphagia,Pass/Fail.,Credits: 1,null,null,,,,,,,,,,,,
EDST,EDST 599C Master's Thesis - MASTER'S THESIS,,Credits: 6,null,null,,,,,,,,,,,,
MINE,MINE 592B Mining Industry Internship - MINE INTERNSHIP,"Mining or mineral processing engineering internship in which concepts, theory and practice of mining and mineral processing engineering are applied by working with industry on appropriate technical projects. Pass/fail.",Credits: 3,Pre-reqs:     MINE 591.,null,,,,,,,,,,,,
POLI,POLI 464F Problems in International Relations - PROB INTRL RELTN,Content varies from year to year. Consult the departmental website. One section (of 3 credits) is reserved for fourth-year students in the Major program in International Relations.,Credits: 3,"Students will take part in an interdisciplinary assessment of the current state and future of space exploration. Motivations for and challenges to human expansion into space will be examined from many perspectives, including pure science, technology, economics. culture and political science.  If  you are interested in registering in this seminar, please send a statement of intent that answers the following questions Short letter of intent, answering some/all of the following:",null,,,,,,,,,,,,
ECON,ECON 309 Intermediate Open Economy Macroeconomics,"The aggregate economy with emphasis on macroeconomic policy and international economic growth, money and inflation, unemployment, business cycles, and macroeconomic stabilization policy under fixed and flexible exchange rates. Registration restricted to students in the Bachelor of International Economics Program. Credit will be granted for only one of ECON 302, 305, or 309.",Credits: 3,"Pre-reqs:     All of ECON 101, ECON 102, MATH 105 and one of MATH 104, MATH 184.",null,,,,,,,,,,,,
BA,BA 530J Study Abroad and Exchange - STUDY ABR'D&EXCH,"Restricted to students in one of the following programs: M.B.A., LL.B./M.B.A., M.Sc.B., Ph.D. with B.A.D.M. specialization, or M.M. with either ECMS or ECMJ. M.M. ECMS or ECMJ students are limited to a maximum of 12 credits in this course.",Credits: 12.5,null,null,,,,,,,,,,,,
IGEN,IGEN 330 Intermediate Engineering Design,Intermediate level engineering design projects involving material in the curriculum of the Integrated Engineering program.,Credits: 6,Pre-reqs:      (Third-year standing in the Integrated Engineering program.),null,,,,,,,,,,,,
PATH,PATH 437 Viral Infections in Humans,Interactions between viruses and humans, pathogenesis, prompt virological diagnosis, rationale for antiviral chemotherapy and prophylaxis.,Credits: 3,Equivalents:  MICB 407,null,,,,,,,,,
EECE,EECE 571B Electrical Engineering Seminar and Special Problems - BIG DATA SYSTEMS,,Credits: 3,null,null,,,,,,,,,,,,
CIVL,CIVL 230 Solid Mechanics I,"Stress and strain, Hooke's law, axially loaded members, torsion, shear forces and bending moments in beams, bending of beams, shear stresses in beams, shear centre, composite members, introduction to elasto-plastic and statically indeterminate problems.",Credits: 4,"Pre-reqs:     All of PHYS 170, MATH 101.",null,,,,,,,,,,,,
PHIL,PHIL 101 Introduction to Philosophy,"Basic problems and methods of philosophy. Topics such as the nature and scope of human knowledge, the existence of God, and the relationship between mind and body. Credit will not be given for both PHIL 100 and 101.",Credits: 3,"Philosophy challenges us with questions that are directed to our most basic intellectual assumptions and forces us to think hard about ourselves and our position in the world. With its focus on arguments, philosophy also brings clarity and rigour to matters that may otherwise seem inherently obscure and perplexing. Different instructors teach PHIL 101 in different ways. The approach I take doesnt emphasize historical analysis and wont touch on the many philosophical systems that are associated with the great philosophers of the past. Instead, the course will focus on a small number of philosophical problems and some important ways of thinking about them. Topics include: Does God exist? Do people have souls? Is there free will? Are there objective moral facts?",null,,,,,,,,,,,,
ELEC,ELEC 454 Power System Analysis II,"Power system monitoring/control; large networks; automatic generation control; optimum power flow calculations; traveling wave transmission lines; EMTP and MATLAB programs for transients, short-circuit, and transient stability analysis.",Credits: 4,"Pre-reqs:     One of EECE 458, ELEC 453.",null,,,,,,,,,,,,
FISH,FISH 504 Quantitative Analysis of Fisheries I,,Credits: 3,null,null,,,,,,,,,,,,
OBST,OBST 501 Reproductive Endocrinology I,"Neuroendocrine regulation of reproduction, regulation of the ovarian and testicular function.",Credits: 3,null,null,,,,,,,,,,,,
THTR,THTR 547C Directed Studies in Theatre and Drama and Film/Television - DIRECTED STUDIES,,Credits: 6,null,null,,,,,,,,,,,,
PHAR,PHAR 542 Central Nervous System Pharmacology,"A course comprised of lectures, assigned readings and reports on selected topics dealing with drug actions in the central nervous system. Given in alternate years. Permission of instructor required.",Credits: 3,null,null,,,,,,,,,,,,
PCTH,PCTH 499 Co-operative Work Placement IV,Approved and supervised technical work experience in an industrial research setting for a minimum of 3.5 months. Normally taken during the summer after fourth year. Technical report required. Restricted to students admitted to the Co-operative Education Program in Pharmacology.,Credits: 3,Pre-reqs:     PCTH 498.,null,,,,,,,,,,,,
PSYC,PSYC 398 Cooperative Work Placement I,"Approved and supervised relevant work experience in an industrial, academic, or government setting for a minimum of 13 weeks, full-time. Normally taken in Summer Session after third year. Work term report required. Restricted to students admitted to the Co-op Program in Psychology (B.Sc.).",Credits: 3,"Pre-reqs:      (Co-op Workshops, PSYC 360.)",null,,,,,,,,,,,,
ARCH,ARCH 512 Structures I,"Quantitative and qualitative means for understanding of statics, materials and flow of force through a structure.",Credits: 3,null,null,,,,,,,,,,,,
CDST,CDST 350A Canadian Studies - CDN STUDIES,An interdisciplinary introduction to Canadian studies. Required of all majors.,Credits: 3,null,null,,,,,,,,,,,,
PORT,PORT 101 First-Year Portuguese I,"Grammar, composition, translation, oral practice. Credit will be granted for only one of PORT 101 or PORT 110.",Credits: 3,null,null,,,,,,,,,,,,
PHYS,PHYS 341 Physics of Music,"An introduction to the physical principles important to the production, transmission and perception of musical sounds. The treatment will be non-mathematical; with emphasis on demonstrations. Topics may include the description of sound waves, resonances, scales, physics of hearing, examination of specific musical instruments, etc. Not for credit in the Faculties of Science and Applied Science.",Credits: 3,null,null,,,,,,,,,,,,
ENGL,ENGL 319 History of the English Language: Later History,Principles of language change. The development and spread of the English language from the Norman Conquest to the Modern English period.,Credits: 3,Pre-reqs:      (Third-year standing. Knowledge of the International Phonetic Alphabet. ENGL 318 or ENGL 330 or the equivalent is recommended.),null,,,,,,,,,,,,
CHEM,CHEM 205 Physical Chemistry,"Chemical kinetics and thermodynamics and spectroscopy useful in biological, medical, agricultural, earth, and related sciences. Credit will be given for only one of CHEM 201 and 205.",Credits: 3,"Pre-reqs:     Either (a) SCIE 001 or (b) one of MATH 100, MATH 102, MATH 104, MATH 110, MATH 120, MATH 180, MATH 184 and one of CHEM 113, CHEM 123, CHEM 154.",null,,,,,,,,,,,,
BIOL,BIOL 412 Phytogeography,"Description and interpretation of present and past floristic vegetational patterns; integration of evolutionary, ecological, and phytogeographical concepts. Terrestrial and aquatic plants are considered. Restricted to students of third and fourth years.",Credits: 3,Pre-reqs:     BIOL 121.,null,,,,,,,,,,,,
HIST,HIST 103 World History Since 1900,"International relations; changes in the nation-state system; the emergence and impact of major political ideologies; genocide; decolonization; the globalization of trade; and the dynamics of economic, social, cultural, and environmental change in a global context.",Credits: 6,null,null,,,,,,,,,,,,
SOWK,SOWK 200 Introduction to Social Welfare,"An introduction to the perspectives, concepts and theoretical foundations of social welfare, including an analysis of the institutional structures of social welfare in the modern state.",Credits: 3,null,null,,,,,,,,,,,,
MATH,MATH 450 Asymptotic and Perturbation Methods,Asymptotic expansions. Asymptotic evaluation of integrals, WKBJ methods. Regular and singular expansions. Boundary layer theory, matched asymptotic expansions. Multiple scale techniques.,Credits: 3,"Pre-reqs:     All of MATH 301, MATH 400.",null,,,,,,,,,,
EPSE,EPSE 436 Survey of Behaviour Disorders in Children and Adolescents,,Credits: 3,null,null,,,,,,,,,,,,
PHYS,PHYS 502 Condensed Matter Physics I,"One-electron theory of solids, energy bands, lattice vibration, transport theory.",Credits: 3,Pre-reqs:      (A background in undergraduate solid state physics such as covered in PHYS 474 is highly recommended.),null,,,,,,,,,,,,
EDCP,EDCP 375A Business Education I - Secondary: Curriculum and Pedagogy - BUS ED I SEC C&P,Pass/Fail.,Credits: 3,null,null,,,,,,,,,,,,
ISCI,ISCI 448J Directed Studies - DIR STUDIES,Permission of the Director is required.,Credits: 6,null,null,,,,,,,,,,,,
DENT,DENT 524 Craniofacial Growth and Development,,Credits: 6,null,null,,,,,,,,,,,,
MUSC,MUSC 442C Song Interpretation - SONG INTERPRET,"Survey of the literature for voice with keyboard accompaniment, with emphasis on performance problems. Open to piano and voice majors, and to others by permission of instructor. May be repeated once for credit.",Credits: 4,null,null,,,,,,,,,,,,
COMM,COMM 604 Advanced Topics in Urban Land Economics I,,Credits: 3,null,null,,,,,,,,,,,,
ARTH,ARTH 480 Visual and Digital Media Theory,"A thematic examination of key arguments in visual and digital media theory, focusing on developments in lens-based and digital media in relationship to twentieth-century and contemporary artistic practice.",Credits: 3,null,null,,,,,,,,,,,,
DENT,DENT 596 Endodontic Case Review and Treatment Planning III,"Student case presentations, treatment choice, and evaluation of prognosis.",Credits: 5,null,null,,,,,,,,,,,,
HIST,HIST 368 Europe in the 19th Century,An investigation of main themes in European history from the French Revolution to the beginning of the 20th century. Topics of particular importance are: domestic politics, the interaction of states, the formation of new states, social and economic transformations affecting the whole civilization, major cultural expressions of the century.,Credits: 3,null,null,,,,,,,,
COMM,COMM 590B Topics in Business Administration - TOPICS BUS ADMIN,,Credits: 3,null,null,,,,,,,,,,,,
PLAN,PLAN 550A Directed Studies - DIRECTED STUDIES,"In special cases and with the approval of the Director of the school, a student may study an advanced topic under the direction of a faculty member.",Credits: 3,null,null,,,,,,,,,,,,
BIOC,BIOC 449C Honours Thesis - HONOURS THESIS,A research problem under the direction of a faculty member. Restricted to Honours students.,Credits: 6,null,null,,,,,,,,,,,,
MINE,MINE 480 Mine Waste Management,"Basic geotechnical, hydrological, and water management aspects of mine waste management.",Credits: 3,Pre-reqs:     CIVL 210. (and fourth-year standing.),null,,,,,,,,,,,,
CIVL,CIVL 699 Doctoral Dissertation,,Credits: 0,"If the course is full, please fill out the online course registration form available at the below web link http://www.civil.ubc.ca/webform/course-request-registration-form and submit it electronically.",null,,,,,,,,,,,,
ECON,ECON 350 Public Finance Policy Topics,"Examination of two or three selected policy problems from areas of taxation, income security, and public expenditures. Topics to be selected each year from areas of current or recent policy debate. Examples include public pension policy, privatization and public services, income tax or sales tax reform, federal-provincial cost sharing programs, tax incentives versus direct expenditures, welfare reform.",Credits: 3,"Pre-reqs:     All of ECON 101, ECON 102.",null,,,,,,,,,,,,
EPSE,EPSE 525 Studies in Sign Language,,Credits: 3,Pre-reqs:     EPSE 399.,null,,,,,,,,,,,,
MECH,MECH 506 Linear Vibrations,Transient and steady state vibration analysis of continuous and discrete mechanical systems. Lagrange's equation and Hamilton's Principle. Measurement of vibration. Machinery health monitoring. Frequency domain analysis. Experimental modal analysis. Vibration of rotating machinery.,Credits: 3,null,null,,,,,,,,,,,,
WOOD,WOOD 276 Mechanics of Wood Products,Introduction to the strength of materials with emphasis on the elastic properties and ultimate strength of wood and wood products.,Credits: 3,"Pre-reqs:     One of PHYS 101, PHYS 170 and one of MATH 101, MATH 103, MATH 105, MATH 121.",null,,,,,,,,,,,,
ELEC,ELEC 455 Power Systems Protection,"Analysis of disturbances, security of power systems, cascading and blackouts; role and impact of protection; transducers and measuring elements; protection of transmission and distribution systems; protection of generators, substation equipment, special protection systems and relays.",Credits: 3,"Pre-reqs:     One of EECE 458, ELEC 453 and one of EECE 373, ELEC 342, EECE 374.",null,,,,,,,,,,,,
EECE,EECE 580 Emerging Electronic Materials and Devices,"The physics, fabrication and characterization of organic and carbon nanotube based capacitors, transistors, batteries, electrochromic windows, active displays, chemical sensors, photo-detectors, strain gauges, actuators and single molecule devices.",Credits: 3,null,null,,,,,,,,,,,,
STAT,STAT 560 Statistical Theory I,Credit will not be given for both STAT 460 and STAT 560.,Credits: 3,null,null,,,,,,,,,,,,
EOSC,EOSC 329 Groundwater Hydrology,Introduction to theory of groundwater flow, flow nets, regional groundwater resource evaluation, well hydraulics, role of groundwater in geologic processes.,Credits: 3,"Pre-reqs:     One of MATH 101, MATH 103, MATH 105, MATH 121, SCIE 001.",null,,,,,,,,
FRE,FRE 340 International Agricultural Development,"Characteristics, processes and sources of economic growth, role of agricultural and resource sectors in economic growth, analysis of output and input markets in those sectors, policy failures, tools for empirical analysis of rural markets, growth, and the environment.",Credits: 3,"Pre-reqs:     One of ECON 100, ECON 101.",null,,,,,,,,,,,,
ARCL,ARCL 232 Ancient Latin America,"The archaeology of ancient Mexico, Central and South America, highlighting recent discoveries about the emergence and growth of civilizations such as the Aztecs, Maya, Zapotec, Inca, Chimor and their ancestors.",Credits: 3,null,null,,,,,,,,,,,,
MEDG,MEDG 550 Concepts in Clinical Genetics for Genetic Counselling,"Practical applications, theories, and principles of medical genetics as they apply to genetic counselling.",Credits: 6,Pre-reqs:      (Acceptance into M.Sc. Genetic Counselling program.),null,,,,,,,,,,,,
PSYC,PSYC 367 Sensory Systems,Anatomy and physiology of the sensory pathways and their relation to perception.,Credits: 3,"Pre-reqs:     Either (a) PSYC 100 or (b) all of PSYC 101, PSYC 102. (or (c) 6 credits of 200-level Psychology (but not 205 or 263).)",null,,,,,,,,,,,,
AUDI,AUDI 550A Advanced Topics in Audiology - ADV TPCS AUDI,May be taken more than once for credit.,Credits: 1,null,null,,,,,,,,,,,,
NURS,NURS 599 Master's Thesis,,Credits: 6,Co-reqs:      NURS 511.,null,,,,,,,,,,,,
MEDI,MEDI 501 Molecular and Cellular Biology of Experimental Medicine,"Cell and molecular function in normal tissues and in specific disease processes, including, genetic, viral, bacterial, immune, and physiological disorders.",Credits: 3,null,null,,,,,,,,,,,,
HIST,HIST 318 Early Twentieth-Century Britain,"British society and politics in the era of the two world wars: the liberal reforms before the Great War, war experiences, the Great Depression, and the impact of new political movements.",Credits: 3,null,null,,,,,,,,,,,,
ELEC,"ELEC 415 Semiconductor Devices: Physics, Design and Analysis","Physics of operation, and design and analysis of semiconductor devices of topical interest, e.g., solar cells, LEDs, high-speed MOSFETs, high-frequency HBTs, low-noise HEMTs.",Credits: 3,"Pre-reqs:     One of EECE 352, ELEC 315, PHYS 304.",null,,,,,,,,,,,,
EPSE,"EPSE 550 Professional, Ethical and Legal Issues in School Psychology",,Credits: 3,null,null,,,,,,,,,,,,
MINE,MINE 506 Mining Methods,A more advanced study of some aspects of mining methods. Credit will be granted for only one of MINE 506 or MINE 550.,Credits: 3,null,null,,,,,,,,,,,,
ANTH,ANTH 517 Archaeological Methods,A discussion of selected basic data-gathering methods in their relation to the development of ideas about the archaeological record.,Credits: 3,null,null,,,,,,,,,,,,
MIDW,MIDW 360 Global Maternal Infant Health,"Social and economic determinants of maternal and fetal health worldwide, innovative public health strategies to reducing maternal and infant mortality and morbidity, and the impact of conflict on the health of mothers and babies.  Ethical considerations related to global clinical placements and medical tourism.  Theoretical course in preparation for global clinical placement.  Pass/Fail.",Credits: 3,Pre-reqs:     MIDW 240.,null,,,,,,,,,,,,
LAW,LAW 325 Conflict of Laws,A study of the private legal problems arising in cases in which the relevant facts cut across provincial or national boundaries. Recommended to be taken in third year.,Credits: 3,null,null,,,,,,,,,,,,
MATH,MATH 532 Algebraic Geometry I,,Credits: 3,null,null,,,,,,,,,,,,
VGRD,VGRD 600 Visiting Doctoral Student,,Credits: 0,null,null,,,,,,,,,,,,
BIOL,BIOL 233 Genetics for Life,"How genetic differences determine individual characteristics, and how they are inherited, analyzed, and modified. Emphasis on genetic diversity, human ancestry, personal genomics, and cancer genetics.",Credits: 3,"Pre-reqs:     Either (a) all of BIOL 112, BIOL 121 or (b) SCIE 001. (; or (c) a corequisite of CHEM 203 and one of BIOL 112 or BIOL 121.)",null,,,,,,,,,,,,
MTRL,MTRL 594 Advanced Composite Materials,"Processing and properties of advanced polymer based composite materials with emphasis on analysis, design, and manufacturing. Credit will only be given for one of MTRL 494, 594.",Credits: 3,null,null,,,,,,,,,,,,
DENT,DENT 785 Hospital Clinical Pediatrics III,,Credits: 3,null,null,,,,,,,,,,,,
ANSC,ANSC 549B Master's Thesis - MASTERS THESIS,,Credits: 18,null,null,,,,,,,,,,,,
LAW,LAW 395 Forest Law,"Acquisition of timber interests; development, financing and organization of timber companies; regulation of exploitation industry interests; management taxation. Not offered each year; consult Faculty.",Credits: 3,Pre-reqs:      (LAW 392 is recommended.),null,,,,,,,,,,,,
CPSC,CPSC 340 Machine Learning and Data Mining,"Models of algorithms for dimensionality reduction, nonlinear regression, classification, clustering and unsupervised learning; applications to computer graphics, computer games, bio-informatics, information retrieval, e-commerce, databases, computer vision and artificial intelligence.",Credits: 3,"Pre-reqs:     One of MATH 152, MATH 221, MATH 223 and one of STAT 200, STAT 203, STAT 241, STAT 251, MATH 302, STAT 302, MATH 318, BIOL 300;  and either (a) CPSC 221 or (b) all of CPSC 260, EECE 320 and one of CPSC 210, EECE 210, EECE 309.",null,,,,,,,,,,,,
MICB,MICB 448A Directed Research - DIRECTED RESRCH,A library (3 credits) or laboratory (3 or 6 credits) project. Requires permission of the Undergraduate Advisor. The results are presented in a written report to be reviewed by oral examination.,Credits: 3,"Pre-reqs:     Either (a) MICB 323 or (b) all of MICB 322, MICB 399.",null,,,,,,,,,,,,
CHEM,CHEM 211 Introduction to Chemical Analysis,"Quantitative chemical analysis; chemical and physical principles of spectrophotometry, potentiometry, and chromatography.",Credits: 4,"Pre-reqs:     One of CHEM 113, CHEM 123, SCIE 001.",null,,,,,,,,,,,,
EDST,EDST 580A Directed Study - DIRECTED STUDY,,Credits: 3,null,null,,,,,,,,,,,,
ANTH,ANTH 451 Conservation of Organic Materials,"Conservation of organic materials within a museum environment; the nature of materials, mechanisms of deterioration and principles of preventive conservation. Recommended for students intending to work with cultural materials.",Credits: 3,Pre-reqs:      (Permission of instructor required.),null,,,,,,,,,,,,
MUSC,MUSC 565D Asian Music Ensemble - AFRICAN MUS/DANC,"Study of Asian music, to include practical training in instrumental techniques and ensemble performance. The music of one major Asian civilization, often Chinese, will be emphasized.",Credits: 2,null,null,,,,,,,,,,,,
LIBR,LIBR 593D Seminar - SEMINAR,,Credits: 3,null,null,,,,,,,,,,,,
KORN,KORN 200 Intermediate Korean,"Reading and writing of modern colloquial Korean at an intermediate level. As of 2011W, credit will be granted for only one of KORN 201/202 or KORN 200.",Credits: 6,"Pre-reqs:     One of KORN 101, KORN 102.",null,,,,,,,,,,,,
ARCH,ARCH 548 Graduate Project Part I,Preparation of a graduation design project including literature review.,Credits: 3,Pre-reqs:      (Completion of all second-year requirements.),null,,,,,,,,,,,,
ANTH,ANTH 315 Japanese Culture and Society,"Japanese culture and society: patterns of organization, value systems, family, education, work, minorities and diversity, harmony and conflict, urban/rural differences, gender, sexuality, youth, tradition, continuity, change, and future prospects.",Credits: 3,null,null,,,,,,,,,,,,
PHTH,PHTH 528 Case-based Integration,,Credits: 1,null,null,,,,,,,,,,,,
EOSC,EOSC 442 Climate Measurement and Analysis,Local climate time series collection and analysis. Retrieval and analysis of on-line climate data and model output.,Credits: 1,"Pre-reqs:     EOSC 340 and one of CPSC 110, CPSC 111, CPSC 301, EOSC 211, MATH 210, PHYS 210 and one of STAT 200, STAT 241, BIOL 300.",null,,,,,,,,,,,,
JAPN,JAPN 406 Readings in Modern Japanese Essays,"An advanced course in the reading and analysis of scholarly texts in modern Japanese drawn from history, sociology, economics, etc. Advanced conversation, composition, and practice in the use of standard reference tools as preparation for independent research in Japanese.",Credits: 3,Pre-reqs:     JAPN 301. (It is recommended that students complete JAPN 303 prior to taking JAPN 406.),null,,,,,,,,,,,,
EDST,EDST 502A Growing Up in History: Critical Approaches to Children and Youth - HISTORY CHLD YTH,,Credits: 3,null,null,,,,,,,,,,,,
ASIA,ASIA 532A Topics in Traditional Japanese Literature - TRAD JAPN LIT,,Credits: 3,null,null,,,,,,,,,,,,
CHEM,CHEM 325 Integrated Chemistry Laboratory I,"Principles and techniques of modern chemistry applied by integrating experiments chosen from organic, inorganic, physical, and analytical chemistry. Open only to students in Chemistry specializations.",Credits: 2,"Pre-reqs:     All of CHEM 211, CHEM 213, CHEM 245 and either (a) all of CHEM 201, CHEM 202 or (b) CHEM 208.",null,,,,,,,,,,,,
MUSC,MUSC 159A University Chamber Strings - UNIV CHMBR STRNG,"May be repeated for credit in accordance with program requirements for B.Mus. or B.A. in Music. Open to other students by audition, with credit, as stipulated by their faculties.",Credits: 2,null,null,,,,,,,,,,,,
BIOL,BIOL 437 Laboratory in Animal Cell Molecular Biology,The use of recombinant DNA techniques to explore problems in animal developmental biology.,Credits: 3,"Pre-reqs:     All of BIOL 331, BIOL 335 and one of BIOL 201, BIOC 300, BIOC 302, BIOC 303. (Permission of the department head is also required.)",null,,,,,,,,,,,,
ECON,ECON 601 Microeconomics II,,Credits: 3,Course description available at http://departments.arts.ubc.ca/econgrad/2015/courses.pdf,null,,,,,,,,,,,,
MATH,MATH 523 Combinatorial Optimization,,Credits: 3,null,null,,,,,,,,,,,,
