department,name,description,credits,prerequisites,corequisites,,,,,,,,,,,,
CAPS,CAPS 398 Cooperative Work Placement,"Approved and supervised relevant work experience in an industrial, academic, or government setting for a minimum of 13 weeks full-time. Work term report required. Restricted to students admitted to the Co-op Option in Honours Cellular, Anatomical and Physiological Sciences (B.Sc.).",Credits: 3,"Pre-reqs:      (Co-op Workshops, CAPS 301, CAPS 303 (or, PHYL 301, PHYL 303).)",null,,,,,,,,,,,,
ASTR,ASTR 449 Honours Thesis in Astronomy,"A research project in astronomy, undertaken under the direction of a faculty member, culminating in a thesis.",Credits: 6,null,null,,,,,,,,,,,,
PHIL,PHIL 530A Moral Philosophy - MORAL PHILOSOPHY,,Credits: 3,null,null,,,,,,,,,,,,
CHIN,CHIN 301 Advanced Chinese Reading and Writing I (Non-Heritage),"Reading and writing skills addressing social, cultural, and economic issues. Can be taken concurrently with CHIN 305.",Credits: 3,"Pre-reqs:     One of CHIN 207, CHIN 208.",null,,,,,,,,,,,,
BIOL,BIOL 155 Human Biology,The principles of biology with particular reference to the human body (anatomy and physiology).,Credits: 6,null,null,,,,,,,,,,,,
MECH,MECH 460 Advanced Mechanics of Materials,"Axisymmetric membrane stresses in thin shells of revolution, stresses in thick-walled cylinders and rotating disks, beams on elastic foundations, axisymmetric bending of cylindrical shells, axisymmetric bending of circular plates.",Credits: 3,Pre-reqs:     MECH 360.,null,,,,,,,,,,,,
FNH,FNH 470 Clinical Dietetics I,"The role of nutrition and the application of therapeutic diets in the prevention, etiology, and treatment of gastrointestinal complications/disorders, cardiovascular disease, diabetes, and obesity. Restricted to students in the Dietetics Major.",Credits: 3,"Pre-reqs:     All of FNH  350, FNH  370.",null,,,,,,,,,,,,
VISA,VISA 351 Intermediate Print Media II: Interdisciplinary Approaches to Image Production,"Screen printing and other print applications in combination with digital and photographic technologies, and drawing, explored within the context of contemporary art.",Credits: 3,"Pre-reqs:     Either (a) VISA 250 or (b) one of VISA 283, VISA 284, VISA 290, FINA 283, FINA 284, FINA 290.",null,,,,,,,,,,,,
ENGL,ENGL 470D Canadian Studies - CANADIAN STUDIES,,Credits: 3,"Pre-reqs:      (3rd year standing and 6 credits of first-year English, or Arts One, or 6 credits of ASTU 100 from CAP or 3 credits of first-year English and 3 credits of ASTU 150)",null,,,,,,,,,,,,
AANB,AANB 551 Tutorials in Animal Welfare Research,,Credits: 3,null,null,,,,,,,,,,,,
KIN,KIN 481 Sport Marketing and Communication,A seminar on the application of social science theories and methods to sport marketing and communication.,Credits: 3,Pre-reqs:      (Third-year standing.),null,,,,,,,,,,,,
MEDG,MEDG 549 M.Sc. Thesis,,Credits: 12,null,null,,,,,,,,,,,,
LAW,LAW 562 Taxation of Corporations and Shareholders,"Taxation of corporations, taxation of shareholders, and the tax implications of the reorganization of corporations. Credit will be granted for only one of LAW 408 or LAW 562.",Credits: 4,"Pre-reqs:     One of LAW  220, LAW  407, LAW  506, LAW  561.",null,,,,,,,,,,,,
MECH,MECH 493 Introduction to Academic Research,Research project directed by a faculty member in Mechanical Engineeing.,Credits: 3,Pre-reqs:      (Fourth-year standing and at least 80% average in third-year courses and permission of instructor.),null,,,,,,,,,,,,
FRST,FRST 507C Topics in Forest Science - TPS FRST SCIENCE,,Credits: 3,null,null,,,,,,,,,,,,
PHIL,PHIL 360A Introduction to History and Philosophy of Science - INTR HIST PHILSC,"An examination of historical, conceptual and methodological conditions of scientific knowledge through detailed consideration of important episodes in the history of science.",Credits: 3,Equivalents:  HIST 360,null,,,,,,,,,,,,
